date,symbol,Open,High,Low,Close,Volume
2024-06-03,A,127.7435,130.2787,127.7435,129.1192,3114800
2024-06-03,AAPL,191.0786,193.1488,190.7022,192.1979,50080500
2024-06-03,ABBV,148.4635,151.4235,147.3779,148.6398,4467800
2024-06-03,ABNB,145.74,146.96,144.36,146.25,3843400
2024-06-03,ABT,97.4618,99.3314,97.2233,98.1295,4915100
2024-06-03,ACGL,97.4671,98.0186,95.5368,96.7064,1747000
2024-06-03,ACN,274.2948,275.4156,268.8923,269.8981,3596600
2024-06-03,ADBE,447.58,449.84,436.58,439.02,3967700
2024-06-03,ADI,226.4643,227.6203,220.1258,223.69,3087800
2024-06-03,ADM,57.4756,58.1703,56.7253,57.42,3677300
2024-06-03,ADP,229.9401,231.2208,227.9436,229.7988,1113300
2024-06-03,ADSK,219.59,222.21,208.34,210.82,8149000
2024-06-03,AEE,68.243,68.8371,67.9645,68.475,1977700
2024-06-03,AEP,83.5893,83.9416,83.135,83.5151,2913800
2024-06-03,AES,19.4327,19.4327,18.364,18.4886,7078200
2024-06-03,AFL,85.6332,85.7478,84.545,84.8696,2285800
2024-06-03,AIG,74.4296,74.7036,72.9178,74.0044,3435700
2024-06-03,AIZ,166.7176,168.606,165.9468,166.1877,346200
2024-06-03,AJG,246.7365,248.4935,244.9014,246.9903,698700
2024-06-03,AKAM,92.24,92.75,90.3,90.9,1483600
2024-06-03,ALB,119.808,119.808,114.9616,116.0172,2123800
2024-06-03,ALGN,257.21,259.53,253.88,254.53,798800
2024-06-03,ALL,159.8214,160.6163,155.8373,157.1781,1503800
2024-06-03,ALLE,118.8788,118.8788,115.2399,116.9283,545500
2024-06-03,AMAT,214.4821,214.5017,205.2477,210.4347,3828100
2024-06-03,AMCR,44.7582,45.6852,44.5817,45.0672,3550940
2024-06-03,AMD,170.82,171.08,160.91,163.55,59157600
2024-06-03,AME,167.3052,167.5611,162.2172,163.5753,1301900
2024-06-03,AMGN,286.8537,291.239,284.1048,287.4428,2447400
2024-06-03,AMP,422.8658,422.8658,414.5897,418.6986,436800
2024-06-03,AMT,181.2394,182.9315,180.3054,182.1363,2333200
2024-06-03,AMZN,177.7,178.7,175.92,178.34,30786600
2024-06-03,ANET,75.1,75.31,72.5775,74.0975,8906400
2024-06-03,AON,276.6368,279.6222,274.4988,277.1196,1482900
2024-06-03,AOS,79.8247,80.0445,77.636,78.5631,755300
2024-06-03,APA,27.9413,27.9869,26.6559,26.8382,8022900
2024-06-03,APD,251.3261,256.3194,250.8164,255.7153,2101800
2024-06-03,APH,32.5647,32.7045,31.9982,32.3219,15766400
2024-06-03,APO,113.0881,113.3299,110.6124,112.7109,2801500
2024-06-03,APP,83.05,83.42,79.07,82.7,3779300
2024-06-03,APTV,83.49,85.35,83.22,84.65,2418200
2024-06-03,ARE,105.2849,105.2849,103.1796,103.6553,1318200
2024-06-03,ARES,130.6243,130.7997,125.8687,127.614,1615500
2024-06-03,ATO,110.1034,110.7303,109.5431,109.714,892500
2024-06-03,AVGO,132.1121,132.1414,127.2123,129.104,26278000
2024-06-03,AVY,217.0846,217.9974,212.673,215.9722,531100
2024-06-03,AWK,124.0042,125.035,122.9451,123.6638,1186000
2024-06-03,AXON,281.35,283.0,275.79,278.53,401300
2024-06-03,AXP,234.3887,235.5403,227.8991,231.1683,2677200
2024-06-03,AZO,2772.1799,2794.3401,2728.97,2772.6201,157700
2024-06-03,BA,178.09,186.01,178.02,184.57,8951600
2024-06-03,BAC,37.8248,37.9665,37.1824,37.6736,31898600
2024-06-03,BALL,66.8836,67.5618,66.2538,67.494,1940200
2024-06-03,BAX,32.8301,33.2949,32.6461,33.0044,4443500
2024-06-03,BBY,75.9091,77.6893,75.36,76.9985,9941100
2024-06-03,BDX,175.1312,180.1168,174.2518,177.9929,2647286
2024-06-03,BEN,20.9468,21.0173,20.4447,20.6121,2636700
2024-06-03,BF-B,41.9716,43.3033,41.9529,42.9214,2180300
2024-06-03,BG,100.1528,101.5463,99.7881,101.2938,1227800
2024-06-03,BIIB,225.3,233.19,224.58,229.8,1220700
2024-06-03,BKNG,147.9333,148.2498,145.4865,147.4354,5747500
2024-06-03,BKR,32.0518,32.0901,30.5105,30.7785,7403200
2024-06-03,BLDR,161.5,161.8,151.56,152.12,2498600
2024-06-03,BLK,738.5184,738.7174,728.3145,736.5098,571000
2024-06-03,BMY,36.9476,38.0517,36.9207,37.4952,13678700
2024-06-03,BNY,56.7531,56.8008,55.9722,56.7341,2427200
2024-06-03,BR,190.8895,191.8062,188.693,190.5934,550600
2024-06-03,BRK-B,414.89,416.72,408.78,414.79,4903000
2024-06-03,BRO,87.754,88.3539,86.6328,87.4196,796600
2024-06-03,BSX,75.36,75.92,74.84,75.5,3217200
