date,symbol,Open,High,Low,Close,Volume
2025-01-01,CANFINHOME.NS,734.0408,739.8483,709.6882,712.8604,1241318
2025-01-01,CAPLIPOINT.NS,2499.3294,2512.2484,2450.6347,2496.6462,157454
2025-01-01,CARBORUNIV.NS,1263.1141,1293.7053,1261.7258,1285.7228,75545
2025-01-01,CARERATING.NS,1343.0304,1353.7158,1333.2272,1338.9131,28212
2025-01-01,CASTROLIND.NS,176.4662,183.587,174.797,180.879,6197651
2025-01-01,CCL.NS,732.6786,737.7213,718.1931,721.11,69228
2025-01-01,CEATLTD.NS,3169.7861,3188.1241,3120.3614,3136.1499,55318
2025-01-01,CENTRALBK.NS,51.189,52.0372,51.1312,51.8926,1709308
2025-01-01,CENTURYPLY.NS,733.0833,814.3708,731.2381,795.52,3720942
2025-01-01,CERA.NS,7527.4144,7527.4144,7368.7776,7489.1753,7056
2025-01-01,CESC.NS,168.3973,169.3211,167.1021,168.5694,2358037
2025-01-01,CGCL.NS,185.9648,187.6418,185.3759,187.0029,34985
2025-01-01,CGPOWER.NS,723.9583,741.0863,719.5767,737.8997,1120881
2025-01-01,CHAMBLFERT.NS,477.6584,489.2142,476.7397,487.0385,800185
2025-01-01,CHENNPETRO.NS,590.5797,603.603,588.881,596.3836,1455082
2025-01-01,CHOLAFIN.NS,1186.9915,1191.8791,1172.1291,1181.3557,587931
2025-01-01,CHOLAHLDNG.NS,1398.1319,1406.869,1380.2584,1397.3331,106851
2025-01-01,CIPLA.NS,1501.6701,1517.2559,1488.682,1498.8765,1578715
2025-01-01,COALINDIA.NS,344.1329,348.2602,343.1908,346.69,3584876
2025-01-01,COFORGE.NS,1911.3524,1922.1913,1882.2975,1899.2313,798575
2025-01-01,COLPAL.NS,2605.5805,2633.2927,2589.3304,2613.2703,396200
2025-01-01,CONCOR.NS,612.2314,614.8764,603.2852,606.2413,553843
2025-01-01,COROMANDEL.NS,1870.907,1912.0149,1853.4162,1905.9376,822664
2025-01-01,CRISIL.NS,6247.6641,6487.9999,6162.3314,6253.4697,254169
2025-01-01,CUB.NS,126.6098,128.1041,125.3658,127.9422,731307
2025-01-01,CUMMINSIND.NS,3181.5876,3181.5876,3131.0554,3139.3154,254916
2025-01-01,CYIENT.NS,1800.4042,1805.0896,1756.2823,1762.0905,335107
2025-01-01,DALMIASUG.NS,352.1668,365.5744,349.2249,359.787,126983
2025-01-01,DBCORP.NS,291.9985,295.5211,287.3333,293.1886,53086
2025-01-01,DCAL.NS,271.8,293.9,271.0,285.3,1570576
2025-01-01,DCBBANK.NS,118.8714,119.2546,117.7416,118.5767,670401
2025-01-01,DCMSHRIRAM.NS,1126.467,1148.1298,1094.1697,1101.604,44395
2025-01-01,DEEPAKFERT.NS,1182.4096,1210.8112,1169.0964,1201.5905,530412
2025-01-01,DELTACORP.NS,108.363,110.092,108.363,109.3105,564075
2025-01-01,DEN.NS,43.51,44.25,43.41,43.89,716792
2025-01-01,DHANUKA.NS,1455.4561,1467.4196,1445.4865,1449.0756,21634
2025-01-01,DISHTV.NS,10.4,10.55,10.33,10.43,6098798
2025-01-01,DIVISLAB.NS,6037.499,6082.2102,6008.4517,6020.6455,116675
2025-01-01,DLF.NS,805.4719,810.0799,798.6579,808.3641,929268
2025-01-01,DRREDDY.NS,1371.0053,1371.5978,1338.3212,1351.7997,1658723
2025-01-01,ECLERX.NS,1777.4446,1838.2707,1694.2115,1732.1311,546680
2025-01-01,EDELWEISS.NS,121.0405,122.3583,119.6739,121.4798,1195745
2025-01-01,EICHERMOT.NS,4717.782,4793.4484,4633.2256,4772.7852,290234
2025-01-01,EIDPARRY.NS,893.65,921.85,893.0,919.4,202520
2025-01-01,EIHOTEL.NS,419.4225,431.4202,413.622,425.818,1609495
2025-01-01,ELECTCAST.NS,135.6332,140.5116,135.1073,139.5281,702570
2025-01-01,ELGIEQUIP.NS,574.8149,579.9207,569.7588,572.4356,75023
2025-01-01,EMAMILTD.NS,578.9836,592.9683,574.3382,588.9519,254795
2025-01-01,ENGINERSIN.NS,177.0604,179.1082,175.7467,178.0167,1125128
2025-01-01,EPL.NS,253.8031,259.0764,249.0669,256.928,503663
2025-01-01,ESABINDIA.NS,5737.6976,5778.5492,5721.1913,5740.96,807
2025-01-01,ESCORTS.NS,3246.9886,3246.9886,3143.1627,3218.1182,374951
2025-01-01,EVEREADY.NS,388.8343,399.7177,388.8343,391.6541,66309
2025-01-01,EXIDEIND.NS,416.8073,418.2924,411.0156,417.1538,2319841
2025-01-01,FACT.NS,987.5105,1002.3046,970.6171,989.5596,508232
2025-01-01,FDC.NS,490.7421,506.5407,489.7053,504.6646,52566
2025-01-01,FEDERALBNK.NS,198.516,199.0806,196.0197,198.6249,4148526
2025-01-01,FILATEX.NS,61.1099,61.864,60.6932,61.6258,1029833
2025-01-01,FINCABLES.NS,1159.2914,1161.603,1139.2739,1148.963,70412
2025-01-01,FINPIPE.NS,244.8533,246.496,239.6838,240.4085,690211
2025-01-01,FORTIS.NS,720.6823,721.3807,699.1307,706.9132,984457
2025-01-01,FSL.NS,362.4807,375.0151,360.1577,371.6274,2651154
2025-01-01,GABRIEL.NS,472.7746,501.4442,470.3896,498.0654,308152
2025-01-01,GAEL.NS,124.0822,125.5262,123.7336,124.8789,255379
2025-01-01,GAIL.NS,176.9687,177.4967,175.1159,177.0243,3721986
2025-01-01,GARFIBRES.NS,946.6396,947.6456,906.7146,916.252,320255
2025-01-01,GENUSPOWER.NS,380.526,395.9889,379.8322,394.6508,542469
2025-01-01,GEOJITFSL.NS,112.1756,115.5586,111.2215,114.7586,202774
2025-01-01,GESHIP.NS,913.3238,923.4244,912.0434,919.9153,119604
2025-01-01,GHCL.NS,706.8252,708.7355,681.1789,705.4402,825486
2025-01-01,GLAXO.NS,2151.469,2187.0862,2139.0031,2148.6775,23429
2025-01-01,GLOBUSSPR.NS,865.8117,871.4567,860.0182,867.2477,22931
2025-01-01,GMDCLTD.NS,315.8658,319.9883,313.3628,317.8289,347324
2025-01-01,GNFC.NS,520.5992,528.475,515.6593,527.4964,351983
2025-01-01,GODFRYPHLP.NS,1689.7259,1695.6559,1596.4724,1636.0646,627900
