date,symbol,Open,High,Low,Close,Volume
2024-06-03,BIRLACORPN.NS,1442.0721,1454.771,1416.8691,1436.5742,248860
2024-06-03,BLUEDART.NS,7296.0473,7296.0473,7128.2651,7183.0176,7243
2024-06-03,BLUESTARCO.NS,1602.6949,1612.5577,1563.244,1577.8901,196396
2024-06-03,BOMDYEING.NS,168.265,169.1014,162.7546,164.2798,1127600
2024-06-03,BOSCHLTD.NS,29803.9158,29939.84,29131.6086,29252.1699,44990
2024-06-03,BPCL.NS,296.5413,306.3517,290.6105,297.0541,33828234
2024-06-03,BRIGADE.NS,1004.8416,1032.3073,982.5118,1019.8025,730381
2024-06-03,BRITANNIA.NS,5079.6257,5079.6257,4945.4469,4952.9224,199328
2024-06-03,BSOFT.NS,591.0743,594.0995,581.7105,589.1055,1290779
2024-06-03,CANBK.NS,113.5552,117.2857,111.4169,116.6943,93777898
2024-06-03,CANFINHOME.NS,723.5022,732.1843,709.9969,725.5763,753365
2024-06-03,CAPLIPOINT.NS,1315.0468,1315.0468,1272.072,1275.8932,69461
2024-06-03,CARBORUNIV.NS,1626.3547,1678.3386,1617.9383,1657.9906,245941
2024-06-03,CARERATING.NS,1020.7985,1020.7985,974.4908,990.6188,40426
2024-06-03,CASTROLIND.NS,175.0062,175.575,167.3497,168.0497,3738087
2024-06-03,CCL.NS,576.8643,580.7594,562.1222,570.4547,207248
2024-06-03,CEATLTD.NS,2346.1463,2348.0368,2300.9677,2320.7939,89110
2024-06-03,CENTRALBK.NS,65.5887,70.3596,63.42,69.6849,95389337
2024-06-03,CENTURYPLY.NS,657.4577,668.3656,654.8179,661.7411,255804
2024-06-03,CERA.NS,6905.998,7031.0044,6863.1942,6965.2422,72476
2024-06-03,CESC.NS,139.1159,141.0179,134.9497,137.8479,8353049
2024-06-03,CGCL.NS,216.4572,229.2252,211.0208,222.9908,1561233
2024-06-03,CGPOWER.NS,697.0713,697.0713,659.0311,683.3788,5283814
2024-06-03,CHAMBLFERT.NS,384.2615,390.9195,376.8426,387.21,1587585
2024-06-03,CHENNPETRO.NS,854.3138,883.1063,840.3455,877.0684,1156332
2024-06-03,CHOLAFIN.NS,1266.1776,1291.0524,1260.0461,1284.7715,1873865
2024-06-03,CHOLAHLDNG.NS,1107.9666,1114.3549,1082.2139,1104.8224,293178
2024-06-03,CIPLA.NS,1440.4936,1441.4656,1405.5505,1411.674,1335614
2024-06-03,COALINDIA.NS,441.2418,451.8659,433.1452,438.9713,24416215
2024-06-03,COFORGE.NS,1001.2293,1003.8478,970.4745,983.9592,4274130
2024-06-03,COLPAL.NS,2592.1903,2604.5703,2553.1784,2578.8503,383418
2024-06-03,CONCOR.NS,1083.3569,1139.3593,1066.9424,1133.8074,7777140
2024-06-03,COROMANDEL.NS,1309.4216,1325.5679,1282.741,1320.4976,610996
2024-06-03,CRISIL.NS,4127.1046,4151.8701,3915.8691,3927.4749,51395
2024-06-03,CUB.NS,108.2394,108.2394,105.6866,107.3641,5242871
2024-06-03,CUMMINSIND.NS,3528.2908,3600.7416,3495.3762,3588.4651,1219845
2024-06-03,CYIENT.NS,1729.0004,1744.2733,1657.2469,1662.4338,284491
2024-06-03,DALMIASUG.NS,376.3495,376.3495,359.8088,367.0213,62524
2024-06-03,DBCORP.NS,279.3219,282.5378,264.9424,269.4446,611083
2024-06-03,DCAL.NS,168.5,168.5,152.35,153.85,1347477
2024-06-03,DCBBANK.NS,129.6779,130.3656,126.8289,129.3341,2162811
2024-06-03,DCMSHRIRAM.NS,990.801,990.801,956.9735,961.3858,39939
2024-06-03,DEEPAKFERT.NS,564.2592,564.5038,551.1005,552.7148,616265
2024-06-03,DELTACORP.NS,113.171,114.1391,109.3955,109.8311,2022087
2024-06-03,DEN.NS,51.3,51.35,50.2,50.4,1129453
2024-06-03,DHANUKA.NS,1276.5439,1287.5708,1241.7742,1277.587,48042
2024-06-03,DISHTV.NS,15.6,15.8,15.0,15.1,21468310
2024-06-03,DIVISLAB.NS,4335.4584,4370.4377,4229.9788,4258.5039,515368
2024-06-03,DLF.NS,834.3812,851.0513,814.0067,847.2981,9999975
2024-06-03,DRREDDY.NS,1165.7556,1165.7556,1134.1966,1135.4039,2087555
2024-06-03,ECLERX.NS,1118.7143,1121.2114,1088.2493,1094.4172,95170
2024-06-03,EDELWEISS.NS,71.4021,72.4635,68.2662,71.1127,5768784
2024-06-03,EICHERMOT.NS,4638.0608,4638.0608,4483.4588,4513.2681,1070710
2024-06-03,EIDPARRY.NS,699.0,699.0,670.25,680.2,585245
2024-06-03,EIHOTEL.NS,439.0442,439.4397,413.5816,417.537,900609
2024-06-03,ELECTCAST.NS,169.0578,169.0578,156.2136,160.7697,3229948
2024-06-03,ELGIEQUIP.NS,624.6953,624.6953,592.3732,594.8937,123351
2024-06-03,EMAMILTD.NS,615.5351,625.0567,593.9433,609.8606,1939673
2024-06-03,ENGINERSIN.NS,253.1288,261.6866,246.3499,258.5616,15177765
2024-06-03,EPL.NS,178.8553,178.8553,173.4963,174.1662,1306365
2024-06-03,ESABINDIA.NS,5452.8435,5685.475,5237.1524,5619.4502,18951
2024-06-03,ESCORTS.NS,3733.7791,3815.5435,3707.5601,3777.8174,196258
2024-06-03,EVEREADY.NS,330.6651,331.4547,325.483,328.4442,100060
2024-06-03,EXIDEIND.NS,505.7159,508.9709,486.3829,498.0221,6117134
2024-06-03,FACT.NS,698.0296,711.0116,681.1531,700.7758,440417
2024-06-03,FDC.NS,428.031,432.1354,419.8222,422.7539,411393
2024-06-03,FEDERALBNK.NS,162.7303,164.4536,161.0562,161.844,20720708
2024-06-03,FILATEX.NS,55.3863,55.3863,52.2708,53.6555,1345615
2024-06-03,FINCABLES.NS,1467.0958,1467.0958,1398.6313,1436.2867,338800
2024-06-03,FINPIPE.NS,306.7267,326.8556,302.9884,321.9671,3142916
2024-06-03,FORTIS.NS,486.9033,486.9033,455.4886,457.3805,1476514
2024-06-03,FSL.NS,182.4502,188.0641,181.3371,185.4507,1654781
2024-06-03,GABRIEL.NS,369.2786,373.0196,350.6227,352.4932,464790
2024-06-03,GAEL.NS,147.8561,147.8561,137.9228,139.3135,1033284
2024-06-03,GAIL.NS,201.0271,216.0346,195.6077,213.8113,106239940
2024-06-03,GARFIBRES.NS,687.2953,697.3675,673.2317,676.8979,73165
2024-06-03,GENUSPOWER.NS,324.6474,325.6371,296.1912,301.2886,1747914
2024-06-03,GEOJITFSL.NS,98.0761,98.8371,92.6538,93.2722,737433
2024-06-03,GESHIP.NS,1048.0095,1048.0095,978.5789,996.5916,1320329
2024-06-03,GHCL.NS,477.6973,480.2213,467.4142,472.9297,423589
2024-06-03,GLAXO.NS,2515.3612,2515.3612,2372.5845,2390.5034,246756
2024-06-03,GLOBUSSPR.NS,701.5528,708.3601,691.5884,691.983,110394
2024-06-03,GMDCLTD.NS,393.0209,393.6424,381.6414,388.0962,1876899
2024-06-03,GNFC.NS,588.3381,605.3142,584.8792,603.4027,832118
2024-06-03,GODFRYPHLP.NS,1205.5603,1243.9177,1188.1325,1197.0543,463641
2024-06-03,GODREJIND.NS,799.95,806.85,777.1,790.65,507832
2024-06-03,GODREJPROP.NS,2841.2662,2992.734,2821.5116,2950.4883,2080492
2024-06-03,GPIL.NS,200.8599,201.6378,190.62,192.9831,3225475
2024-06-03,GPPL.NS,177.116,181.9625,173.0626,179.2309,4510325
2024-06-03,GRANULES.NS,420.9569,440.3055,417.1864,437.6761,2268069
2024-06-03,GRAPHITE.NS,556.5471,557.0703,541.1826,548.6984,481934
2024-06-03,GRASIM.NS,2374.7489,2379.8941,2337.4456,2343.8772,807692
2024-06-03,GREAVESCOT.NS,122.4417,123.17,118.4607,119.8201,1117077
2024-06-03,GREENPLY.NS,256.1553,258.6935,250.1832,251.726,235632
